# Insumos oficiales del backtest reel 2 (todo con fuente publica; ver backtest-fuentes-2015-2025.candidato.csv para URLs).
# cuota: SP app valoresCuotaFondo (Fondo A, CLP/cuota, fin de mes habil).
# deposito: BCCh TIP captaciones 90d-1a reajustable UF, promedio anual (la base entrega el promedio).
# hipoteca: BCCh colocacion vivienda reajustable UF, promedio 2015. Verificada 28-ago-2026 contra BDE BCCh por Fabrizio.
# uf_dic: UF oficial SII al 31-dic. uf_mes: UF oficial SII al ultimo dia de cada mes
#   (tabla consolidada dia x mes de sii.cl/valores_y_fechas/uf/uf<anio>.htm).
serie,clave,fecha,valor
cuota,HABITAT,2018-03-31,44042.08
cuota,CUPRUM,2018-03-31,43445.26
cuota,HABITAT,2018-04-30,44620.83
cuota,CUPRUM,2018-04-30,43999.70
cuota,HABITAT,2018-05-31,44747.81
cuota,CUPRUM,2018-05-31,44040.79
cuota,HABITAT,2018-06-30,44233.46
cuota,CUPRUM,2018-06-30,43462.41
cuota,HABITAT,2018-07-31,45213.50
cuota,CUPRUM,2018-07-31,44462.50
cuota,HABITAT,2018-08-31,45992.49
cuota,CUPRUM,2018-08-31,45200.91
cuota,HABITAT,2018-09-30,45425.99
cuota,CUPRUM,2018-09-30,44660.25
cuota,HABITAT,2018-10-31,43732.25
cuota,CUPRUM,2018-10-31,43019.99
cuota,HABITAT,2018-11-30,43845.33
cuota,CUPRUM,2018-11-30,43104.89
cuota,HABITAT,2018-12-31,43503.13
cuota,CUPRUM,2018-12-31,42822.06
cuota,HABITAT,2019-01-31,44789.42
cuota,CUPRUM,2019-01-31,44096.19
cuota,HABITAT,2019-02-28,45027.63
cuota,CUPRUM,2019-02-28,44306.21
cuota,HABITAT,2019-03-31,46065.52
cuota,CUPRUM,2019-03-31,45299.83
cuota,HABITAT,2019-04-30,47064.28
cuota,CUPRUM,2019-04-30,46285.02
cuota,HABITAT,2019-05-31,46599.36
cuota,CUPRUM,2019-05-31,45844.44
cuota,HABITAT,2019-06-30,47243.71
cuota,CUPRUM,2019-06-30,46454.15
cuota,HABITAT,2019-07-31,48464.67
cuota,CUPRUM,2019-07-31,47625.06
cuota,HABITAT,2019-08-31,47213.85
cuota,CUPRUM,2019-08-31,46372.38
cuota,HABITAT,2019-09-30,49162.39
cuota,CUPRUM,2019-09-30,48276.26
cuota,HABITAT,2019-10-31,49933.00
cuota,CUPRUM,2019-10-31,48943.62
cuota,HABITAT,2019-11-30,54419.78
cuota,CUPRUM,2019-11-30,53446.63
cuota,HABITAT,2019-12-31,52141.66
cuota,CUPRUM,2019-12-31,51398.91
cuota,HABITAT,2020-01-31,54344.44
cuota,CUPRUM,2020-01-31,53452.83
cuota,HABITAT,2020-02-29,52165.07
cuota,CUPRUM,2020-02-29,51259.35
cuota,HABITAT,2020-03-31,43924.53
cuota,CUPRUM,2020-03-31,42977.25
cuota,HABITAT,2020-04-30,47799.53
cuota,CUPRUM,2020-04-30,46738.16
cuota,HABITAT,2020-05-31,47501.39
cuota,CUPRUM,2020-05-31,46467.22
cuota,HABITAT,2020-06-30,49835.74
cuota,CUPRUM,2020-06-30,48844.88
cuota,HABITAT,2020-07-31,49583.79
cuota,CUPRUM,2020-07-31,48685.28
cuota,HABITAT,2020-08-31,52451.12
cuota,CUPRUM,2020-08-31,51327.31
cuota,HABITAT,2020-09-30,50986.57
cuota,CUPRUM,2020-09-30,49842.67
cuota,HABITAT,2020-10-31,50804.48
cuota,CUPRUM,2020-10-31,49465.77
cuota,HABITAT,2020-11-30,55548.04
cuota,CUPRUM,2020-11-30,54200.60
cuota,HABITAT,2020-12-31,54549.80
cuota,CUPRUM,2020-12-31,53303.50
